id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-527101,2021-01-06,000001,Vente,505.5,,,RUE DU PETREAU,0105,33230,33001,Abzac,33,,,330010000B2328,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,ALLEE,Allée (no groupe),337,-0.124133,45.014097
2021-527130,2021-01-11,000002,Vente,2700,6,T,BARRAUD,B012,33230,33001,Abzac,33,,,33001000AC0495,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,135,-0.149933,45.022262
2021-527130,2021-01-11,000002,Vente,2700,6,T,BARRAUD,B012,33230,33001,Abzac,33,,,33001000AC0495,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,135,-0.149933,45.022262
2021-527143,2021-01-12,000001,Vente,136000,33,,RUE DU PETIT MOULIN,0100,33230,33001,Abzac,33,,,33001000ZO0017,,,,,,,,,,,,,0,1,Maison,75,5,S,sols,,,1025,-0.133031,45.012744
2021-527270,2021-01-13,000001,Vente,160000,,,TRIPOTEAU NORD,B157,33230,33001,Abzac,33,,,33001000ZM0047,,,,,,,,,,,,,0,,,,,S,sols,,,750,-0.126615,44.996288
2021-527270,2021-01-13,000001,Vente,160000,12,,TRIPOTEAU NORD,B157,33230,33001,Abzac,33,,,33001000ZM0048,,,,,,,,,,,,,0,2,Appartement,35,1,S,sols,,,576,,
2021-527270,2021-01-13,000001,Vente,160000,12,,TRIPOTEAU NORD,B157,33230,33001,Abzac,33,,,33001000ZM0048,,,,,,,,,,,,,0,2,Appartement,56,1,S,sols,,,576,,
2021-527270,2021-01-13,000001,Vente,160000,12,,TRIPOTEAU NORD,B157,33230,33001,Abzac,33,,,33001000ZM0048,,,,,,,,,,,,,0,2,Appartement,56,1,S,sols,,,576,,
2021-527717,2021-02-19,000001,Vente,220000,59,A,ROCHEREAU,B140,33230,33001,Abzac,33,,,33001000ZD0187,,,,,,,,,,,,,0,1,Maison,124,3,S,sols,,,485,-0.14715,45.022016
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1323,,,,,,,,,,,,,0,,,,,T,terres,,,4575,-0.160682,45.011094
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1324,,,,,,,,,,,,,0,,,,,P,prés,,,15459,-0.159357,45.012022
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1325,,,,,,,,,,,,,0,,,,,CA,carrières,GRAVE,Gravière,3001,-0.16023,45.010622
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1326,,,,,,,,,,,,,0,,,,,T,terres,,,1682,-0.159682,45.010881
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1327,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1492,-0.158941,45.011731
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1328,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2672,-0.15838,45.012161
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1329,,,,,,,,,,,,,0,,,,,CA,carrières,GRAVE,Gravière,1868,-0.159535,45.010846
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1330,,,,,,,,,,,,,0,,,,,L,landes,FRICH,Friche,1892,-0.159513,45.010654
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1331,,,,,,,,,,,,,0,,,,,T,terres,,,1843,-0.159418,45.010555
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1332,,,,,,,,,,,,,0,,,,,CA,carrières,GRAVE,Gravière,1205,-0.159389,45.010386
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1333,,,,,,,,,,,,,0,,,,,T,terres,,,1312,-0.159368,45.010188
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1334,,,,,,,,,,,,,0,,,,,B,bois,ACACI,Acacias,1418,-0.15895,45.010877
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1335,,,,,,,,,,,,,0,,,,,L,landes,PATUR,Pâture plantée,1280,-0.158925,45.010655
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1336,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2672,-0.158498,45.011702
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1337,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3189,-0.158101,45.01186
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1339,,,,,,,,,,,,,0,,,,,P,prés,,,8745,-0.156493,45.011535
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1340,,,,,,,,,,,,,0,,,,,T,terres,,,8969,-0.157654,45.010657
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1341,,,,,,,,,,,,,0,,,,,T,terres,,,8290,-0.158628,45.009822
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1342,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2245,-0.157559,45.010177
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1343,,,,,,,,,,,,,0,,,,,L,landes,PATUR,Pâture plantée,3015,-0.157673,45.009917
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1344,,,,,,,,,,,,,0,,,,,CA,carrières,GRAVE,Gravière,1519,-0.157777,45.009691
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1345,,,,,,,,,,,,,0,,,,,L,landes,FRICH,Friche,1081,-0.157674,45.009511
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1346,,,,,,,,,,,,,0,,,,,T,terres,,,3711,-0.157757,45.009286
2021-527887,2021-02-22,000001,Vente,60000,,,LES CHAPELLES,B055,33230,33001,Abzac,33,,,330010000D1347,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2065,-0.15789,45.009019
2021-527948,2021-02-18,000001,Vente,212000,5,,RUE JULES FERRY,0080,33230,33001,Abzac,33,,,33001000AB0366,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,457,-0.128069,45.013939
2021-528033,2021-03-17,000001,Vente,4500,,,PAS DES LANDES,B115,33230,33001,Abzac,33,,,33001000ZN0007,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,909,-0.145842,45.007243
2021-528033,2021-03-17,000001,Vente,4500,,,PAS DES LANDES,B115,33230,33001,Abzac,33,,,33001000ZN0007,,,,,,,,,,,,,0,,,,,VI,vignes,,,2308,-0.145842,45.007243
2021-528033,2021-03-17,000001,Vente,4500,,,PAS DES LANDES,B115,33230,33001,Abzac,33,,,33001000ZN0007,,,,,,,,,,,,,0,,,,,T,terres,,,4583,-0.145842,45.007243
2021-528033,2021-03-17,000001,Vente,4500,,,PETIT PAS DES LANDES,B120,33230,33001,Abzac,33,,,33001000ZO0127,,,,,,,,,,,,,0,,,,,L,landes,PATUR,Pâture plantée,3125,-0.145067,45.008267
2021-528058,2021-03-08,000001,Vente,207000,365,,PENOT,B117,33230,33001,Abzac,33,,,33001000ZH0031,,,,,,,,,,,,,0,1,Maison,165,6,P,prés,,,12567,-0.093153,45.014139
2021-528058,2021-03-08,000001,Vente,207000,365,,PENOT,B117,33230,33001,Abzac,33,,,33001000ZH0031,,,,,,,,,,,,,0,1,Maison,165,6,S,sols,,,575,-0.093153,45.014139
2021-528060,2021-03-08,000001,Vente,110000,497,B,PETIT PIRON,B121,33230,33001,Abzac,33,,,33001000ZI0401,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,731,-0.132232,45.006343
2021-528135,2021-03-11,000001,Vente,165000,7,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0177,,,,,,,,,,,,,0,1,Maison,179,5,S,sols,,,798,-0.127746,45.016672
2021-528135,2021-03-11,000001,Vente,165000,,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0734,,,,,,,,,,,,,0,,,,,J,jardins,,,76,-0.1279,45.016518
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0030,,,,,,,,,,,,,0,,,,,VI,vignes,,,4260,-0.126446,45.005652
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0031,,,,,,,,,,,,,0,,,,,VI,vignes,,,691,-0.126533,45.006143
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0031,,,,,,,,,,,,,0,,,,,T,terres,,,3914,-0.126533,45.006143
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0032,,,,,,,,,,,,,0,,,,,T,terres,,,8233,-0.127255,45.006203
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0032,,,,,,,,,,,,,0,,,,,VI,vignes,,,1749,-0.127255,45.006203
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0032,,,,,,,,,,,,,0,,,,,VI,vignes,,,6905,-0.127255,45.006203
2021-528320,2021-03-19,000001,Vente,138287.4,,,AU BLEZOT,B024,33230,33001,Abzac,33,,,33001000ZI0032,,,,,,,,,,,,,0,,,,,VI,vignes,,,4518,-0.127255,45.006203
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0006,,,,,,,,,,,,,0,,,,,VI,vignes,,,16395,-0.124227,45.003656
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0007,,,,,,,,,,,,,0,,,,,VI,vignes,,,2375,-0.123614,45.003243
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0008,,,,,,,,,,,,,0,,,,,VI,vignes,,,1480,-0.123554,45.003168
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0009,,,,,,,,,,,,,0,,,,,VI,vignes,,,25450,-0.122809,45.003198
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0167,,,,,,,,,,,,,0,,,,,T,terres,,,55,-0.124448,45.002347
2021-528320,2021-03-19,000001,Vente,138287.4,,,CHIENDENT,B058,33230,33001,Abzac,33,,,33001000ZM0168,,,,,,,,,,,,,0,,,,,T,terres,,,33,-0.124392,45.00229
2021-528343,2021-03-24,000001,Vente,38000,,,GRAND BOIS,B080,33230,33001,Abzac,33,,,33001000ZK0315,,,,,,,,,,,,,0,,,,,P,prés,,,5271,-0.109086,45.001831
2021-528605,2021-04-06,000001,Vente,171800,,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0818,,,,,,,,,,,,,0,,,,,S,sols,,,442,-0.129846,45.016472
2021-528657,2021-03-29,000001,Vente,2850,,,LES LANDES OUEST,B101,33230,33001,Abzac,33,,,33001000AE0275,,,,,,,,,,,,,0,,,,,TP,terres plantées,JOUAL,Joualle,1392,-0.148827,45.014744
2021-528657,2021-03-29,000001,Vente,2850,,,LES LANDES OUEST,B101,33230,33001,Abzac,33,,,33001000AE0278,,,,,,,,,,,,,0,,,,,T,terres,,,1155,-0.149052,45.015019
2021-528657,2021-03-29,000001,Vente,2850,,,AU FONDREAU OUEST,B071,33230,33001,Abzac,33,,,33001000AE0373,,,,,,,,,,,,,0,,,,,VI,vignes,,,1068,-0.15475,45.013023
2021-528657,2021-03-29,000001,Vente,2850,,,BARRAIL DE COUSI,B008,33230,33001,Abzac,33,,,330010000D1292,,,,,,,,,,,,,0,,,,,B,bois,ACACI,Acacias,317,-0.156815,45.009179
2021-528758,2021-04-28,000001,Vente,10000,,,AU GAT,B078,33230,33001,Abzac,33,,,33001000ZK0033,,,,,,,,,,,,,0,,,,,T,terres,,,3056,-0.106152,45.000132
2021-528758,2021-04-28,000001,Vente,10000,,,AU GAT,B078,33230,33001,Abzac,33,,,33001000ZK0033,,,,,,,,,,,,,0,,,,,TP,terres plantées,JOUAL,Joualle,6494,-0.106152,45.000132
2021-529278,2021-04-15,000001,Vente,64000,70,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0105,,,,,,,,,,,,,0,1,Maison,43,1,S,sols,,,227,-0.13122,45.017274
2021-529509,2021-05-07,000001,Vente,162450,6,,RUE DE BOTHEREAU,0015,33230,33001,Abzac,33,,,33001000AB0754,,,,,,,,,,,,,0,1,Maison,117,4,S,sols,,,192,-0.126779,45.013749
2021-530087,2021-05-12,000001,Vente,110000,17,,CHAMP DES ARNAUDS,B049,33230,33001,Abzac,33,,,330010000A0459,,,,,,,,,,,,,0,1,Maison,106,5,S,sols,,,1401,-0.136882,45.012444
2021-530171,2021-05-21,000001,Vente,30000,,,RUE AVITIACUS,0010,33230,33001,Abzac,33,,,33001000AB0276,,,,,,,,,,,,,0,,,,,S,sols,,,94,-0.126838,45.014619
2021-530601,2021-05-11,000001,Vente,167000,2,,RUE DE FOURNEL,0045,33230,33001,Abzac,33,,,33001000AB0111,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,340,-0.131791,45.017196
2021-530714,2021-05-10,000001,Vente,153000,74,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,255,-0.131251,45.017051
2021-530714,2021-05-10,000001,Vente,153000,74,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0107,,,,,,,,,,,,,0,2,Appartement,100,3,S,sols,,,255,-0.131251,45.017051
2021-530714,2021-05-10,000001,Vente,153000,74,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0107,,,,,,,,,,,,,0,2,Appartement,100,3,S,sols,,,255,-0.131251,45.017051
2021-530714,2021-05-10,000001,Vente,153000,9043,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0595,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,169,-0.131331,45.016813
2021-530714,2021-05-10,000001,Vente,153000,9043,,RUE DU DOCTEUR TEXIER,0025,33230,33001,Abzac,33,,,33001000AB0595,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,169,-0.131331,45.016813
2021-530948,2021-06-03,000001,Vente,40000,16,,BARRAUD,B012,33230,33001,Abzac,33,,,33001000AC0453,,,,,,,,,,,,,0,1,Maison,56,3,S,sols,,,727,-0.151034,45.023127
2021-530948,2021-06-03,000001,Vente,40000,16,,BARRAUD,B012,33230,33001,Abzac,33,,,33001000AC0453,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,727,-0.151034,45.023127
2021-531278,2021-06-07,000001,Vente,80900,,,CHAMP DES FELLONNEAUX,B051,33230,33001,Abzac,33,,,33001000ZO0225,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1001,-0.130528,45.013565
2021-531417,2021-06-03,000001,Vente,190000,18,,AU FONDREAU EST,B070,33230,33001,Abzac,33,,,33001000ZM0424,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,1950,-0.127569,44.997582
2021-531544,2021-05-31,000001,Vente,141823.3,,,LARIVAILLE,B102,33230,33001,Abzac,33,,,330010000B1220,,,,,,,,,,,,,0,,,,,BT,taillis simples,CHENE,Chênes,864,-0.103466,45.003621
2021-532022,2021-06-03,000001,Vente,3200,,,LANDES DE FONTARABIE,B099,33230,33001,Abzac,33,,,33001000AE0385,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,5350,-0.15713,45.012619
2021-532022,2021-06-03,000001,Vente,3200,,,FONTARABIE,B072,33230,33001,Abzac,33,,,33001000AE0404,,,,,,,,,,,,,0,,,,,E,eaux,ETANG,Etangs,8854,-0.156505,45.014047
2021-532022,2021-06-03,000001,Vente,3200,,,FONTARABIE,B072,33230,33001,Abzac,33,,,33001000AE0424,,,,,,,,,,,,,0,,,,,L,landes,FRICH,Friche,3197,-0.154229,45.016861
2021-532022,2021-06-03,000001,Vente,3200,,,BARRAIL DE COUSI,B008,33230,33001,Abzac,33,,,330010000D1295,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1390,-0.154924,45.008678
2021-532022,2021-06-03,000001,Vente,3200,,,BASSES CABANES,B018,33230,33001,Abzac,33,,,33001000ZO0108,,,,,,,,,,,,,0,,,,,P,prés,,,1847,-0.141832,45.012325
2021-532022,2021-06-03,000001,Vente,3200,,,BASSES CABANES,B018,33230,33001,Abzac,33,,,33001000ZO0108,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1373,-0.141832,45.012325
2021-532516,2021-06-23,000002,Vente,500,,,GRAND PIRON,B083,33230,33001,Abzac,33,,,33001000ZI0413,,,,,,,,,,,,,0,,,,,J,jardins,,,297,-0.134746,45.006245
2021-532643,2021-06-29,000002,Echange,1100,,,CHAMP DES FELLONNEAUX,B051,33230,33001,Abzac,33,,,33001000ZO0300,,,,,,,,,,,,,0,,,,,J,jardins,,,81,-0.131611,45.016222
